Manager,Ranking
H. Marecos,997
A. Zdravkov,993
José Gomes,991
López Caro,990
B. Henriksen,984
M. Vucetich,982
G. Almada,982
M. Bílek,977
B. Friedel,975
Tiago Fernandes,975
Hélder Cristóvão,972
S. Muslin,972
A. Souayah,972
J. Askou,970
G. Petrakis,969
K. Özdeş,966
T. Skullerud,965
V. Miriuță,957
J. Lennartsson,953
B. Barak,953
İ. Kartal,947
V. Zvunka,939
F. Rutten,936
G. De Boeck,930
G. Berhalter,928
Z. Zagorčić,920
G. Paraschos,918
L. Seema,917
J. Gómez,917
Lim-Saeng Lee,913
Nam Ki-Il,913
J. Sampaoli,913
Ahmed Samy,912
M. Hristov,910
S. Valakari,903
R. Çalımbay,903
M. Köllner,902
A. Bjørkan,901
H. de Jong,898
A. Ghalenoei,888
B. van Dael,885
K. Balakov,882
Rodrigo Santana,881
D. Ballardini,880
Nuno Santos,880
C. Ledesma,880
Lotina,878
C. Giraldo,878
W. Centeno,876
F. Celestini,875
A. Kjäll,874
C. Sakkas,873
L. Hadjiloukas,872
D. Farrar,865
G. Solinas,865
M. Wieghorst,862
L. Ciobotariu,859
G. Díaz,857
Juanma Lillo,849
J. Csaplár,847
S. Ogbeide,842
L. Gonzalez,838
T. Miyamoto,834
A. Mantzios,833
L. González,832
Sandro Mendes,830
A. Breitenreiter,827
M. Bakkal,822
D. Gavilán,819
R. Skuhravý,818
Y. Golmohammadi,816
Z. Mirković,816
T. Doll,810
A. César,807
F. Ibenge,806
A. Poldervaart,806
L. Cufré,804
C. Falch,803
S. Schmid,802
P. Cocu,801
I. Leonov,799
E. Kahyaoğlu,793
Paco Jémez,792
M. Yakin,791
C. Porter,789
K. Zaoui,788
K. Ingebrigtsen,788
B. Akrapović,782
Jorge Simão,779
D. Toppmöller,776
M. Özdilek,776
T. Tuna,775
R. Torres,765
C. Vivas,763
S. Dramov,756
H. Medford,755
A. Berti,753
Y. Sorimachi,753
H. Ertürk,753
R. Rodríguez,752
R. Mählich,752
M. Canning,742
F. Torres,740
Eduardo Barroca,732
O. Upegui,732
Z. Smółka,730
Kibu Vicuña,727
Quique Sánchez Flores,720
E. Iordănescu,720
Li Tie,720
D. Wagner,718
J. Torrente,713
J. Stam,713
R. Weiler,707
Fernando Diniz,699
Yoon Jung-Hwan,697
B. Bektaş,696
C. Bergodi,694
N. Klinger,693
R. Duarte,689
E. Rivera,688
H. Berg,686
Manolo Jiménez,680
J. Soto,679
A. Hudson,678
H. Wolf,678
