Manager,Ranking
M. Bakkal,1094
M. Koretski,1093
D. Ballardini,1093
B. Olsen,1090
W. Graniolatti,1080
O. Asad,1080
R. Antić,1080
N. Lalatović,1079
A. Apud,1079
D. Adams,1075
S. Krunić,1074
C. Bracconi,1072
J. Gustafsson,1071
T. Sekizuka,1069
Kwi-Jea Cho,1068
R. Bilyaletdinov,1067
A. Solalinde,1065
O. Lenczyk,1065
A. Gamero,1062
I. Vrabec,1062
Nizar Mahrous,1058
Pacheta,1056
J. Fossati,1051
D. Lennon,1050
T. Savevski,1047
Guilherme Farinha,1041
S. Barker,1037
Y. Naim,1036
B. Mráz,1031
A. Zdravkov,1025
F. Benzarti,1023
M. Milanović,1021
B. Peeters,1014
P. Repetto,1011
R. Meulensteen,1010
J. Fernandez,1005
G. Orbu,1004
R. Brood,1004
W. Stawowy,1003
J. Comesaña,1001
Ricardo Drubscky,1000
Péricles Chamusca,1000
Miguel Portugal,996
J. Torres Servin,990
Y. Bakalov,988
J. Palacios,978
S. Dora,977
A. Johnston,975
G. Locke,975
A. Volkov,974
A. Volkov,974
A. Volkov,974
A. Christensen,965
S. Escobar,954
Jorge Paixão,951
D. Nicola,949
M. Figueroa,949
H. Shabo,948
R. Maran,947
P. Moss,944
Shawky Garib,943
Jorvan Vieira,943
M. Teja,938
N. Karageorgiou,935
M. van der Gaag,935
V. Rusnac,934
A. Chervenkov,932
C. Romero,930
C. Romero,930
C. Romero,930
R. Çalımbay,924
L. Kalvoda,924
A. Andersen,920
B. Deane,920
G. Christopoulos,919
M. Rennie,915
G. Quinteros,912
L. Ojrzynski,902
C. Borghi,900
E. De la Torre,898
R. Adachi,897
K. Tasaka,892
A. Guimarães,891
S. Šapurić,891
J. Olsson,889
J. Olsson,889
J. Olsson,889
J. Olsson,889
Cha-Man Lee,878
D. Di Carlo,876
J. Hughes,875
A. Nawałka,874
S. Jelačić,874
Z. Marques,872
M. Lasarte,872
D. Kalaitzidis,872
D. Rossi,870
R. Björknesjö,857
M. Svědík,855
S. Cooper,852
T. Silva,851
L. Nosicky,847
J. Verzeri,846
N. Vivas,840
G. Martínez,839
Eduardo Hungaro,836
M. Radványi,834
A. Aguinaga,826
Č. Janevski,819
G. Berrío,817
JuanMa Lillo,817
R. Maurer,817
N. Andronikou,817
K. Runjaic,814
Á. Comizzo,810
C. Anghel,807
R. Nelsen,806
H. Lisi,805
Hang-Seo Park,804
R. Lucescu,803
F. Komňacký,803
Toni,799
R. Ponte,798
N. Sanvicente,798
J. Furlan,797
I. Chirilă,790
