Manager,Ranking
S. Krunić,275
Kim Jung-Hyuk,275
D. Aničić,275
A. Veysi,273
E. Sánchez,270
Z. Hornyák,269
A. Tikhonov,269
V. Ivić,267
E. Rivera,262
Diogo Giacomini,261
Sidnei Lobo,261
Valdir Bigode,261
Z. Zeman,261
Ma Lin,260
R. Grigorchuk,255
G. Ferrín,254
A. Bertoldi,254
L. Hudec,254
F. Kamalvand,252
M. Barbu,251
H. Ortiz,250
B. Hollerbach,249
P. Hermann,249
J. McIntyre,247
A. Khashmanyan,245
B. Akrapović,243
C. Ischia,240
J. Ferreira,240
R. Evdokimov,240
S. Kiryakov,240
R. Dostanic,240
Tintín Márquez,238
E. Sikora,238
S. Levý,235
O. Lederer,234
D. Burić,234
Rui Duarte,232
P. Engomitis,231
S. Pourmousavi,231
V. Dambrauskas,229
A. Koch,228
C. Bernegger,225
A. Vosniadis,225
N. Vanić,225
M. Skorża,225
G. Bueno,222
C. Arzeno,221
J. Rangel,221
M. Been,220
L. Chabbi,220
M. Miller,220
S. Bradley,218
J. Mian,217
A. Abbasov,217
A. Neaga,214
D. Alexa,214
Y. Kazama,214
V. Trenevski,213
Q. Osmani,211
T. Soehn,209
P. Hinschberger,208
R. Garde,206
R. Batak,206
E. Sözeri,205
T. Sripan,203
P. Bengoechea,200
M. Kosanović,200
M. Grioni,200
D. Ćorić,199
K. Praženica,198
H. Esquivel,195
Jayme de Almeida,192
M. Fleitas,192
E. Arias,191
R. Hake,190
K. Angelov,189
V. Jagodić,188
S. Frantsev,188
A. Bjørkan,186
Luis Pimenta,186
A. Holguín,185
T. Avci,184
T. Erdenerin,184
M. Kılıç,184
I. Saraloglu,184
H. Cihan,184
M. Bulut,184
O. Özköylü,184
S. Karafırtınalar,184
Cho Jin-Ho,183
V. Genes,181
K. Tskhadadze,181
E. Espinel,181
D. Vásquez,180
M. Cuberas,180
O. Fomenko,179
D. Kirichenko,179
A. Grigoryan,179
Marcelo Chamusca,178
Z. Milinković,175
C. Restrepo,175
P. Amodio,174
Lim-Saeng Lee,173
Choi Yong-Soo,173
E. Gjoka,172
C. Kontis,170
E. Villegas,170
Nuno Espírito Santo,165
J. Vera,164
L. Açikgöz,164
A. Paus,163
Toni,162
T. Banin,162
E. Shavit,162
S. Petrović,161
P. Balette,159
J. Puente,159
J. Daerden,159
N. Clausen,158
S. Habanec,157
B. Flovik,155
