home_team_attack,home_team_midfield,home_team_defense,home_team_overall,home_team_past_points,home_team_past_goal_diff,home_team_past_appearances,home_team_past_possession,home_team_past_shots,home_team_past_shots_on_goal,home_team_streak,home_team_best_perf,away_team_attack,away_team_midfield,away_team_defense,away_team_overall,away_team_past_points,away_team_past_goal_diff,away_team_past_appearances,away_team_past_possession,away_team_past_shots,away_team_past_shots_on_goal,away_team_streak,away_team_best_perf,diff_team_attack,diff_team_midfield,diff_team_defense,diff_team_overall,diff_team_past_points,diff_team_past_goal_diff,diff_team_past_appearances,diff_team_past_possession,diff_team_past_shots,diff_team_past_shots_on_goal,diff_team_streak,diff_team_best_perf
79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,4.0,0.0,3.0,3.0,3.0,9.0,11,1.44736842105263,1.5263157894736832,0.8157894736842111,2,5
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,48.48245614035088,11.578947368421053,3.456140350877193,4,6,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,1.0,-2.0,-1.0,0.0,-5.0,1.9999999999999982,-3,7.210526315789473,1.7105263157894743,0.14035087719298245,-1,-8
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,43.26315789473684,10.657894736842104,3.508771929824561,8,11,84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,61.824561403508774,15.631578947368421,5.508771929824562,20,20,-7.0,-9.0,-8.0,-7.0,-22.999999999999993,-35.666666666666664,-11,-18.56140350877193,-4.973684210526317,-2.0000000000000004,-12,-9
86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,62.675438596491226,15.56140350877193,5.885964912280702,20,20,74.0,74.0,74.0,74.0,21.0,-49.0,6,49.3421052631579,10.763157894736842,3.4473684210526314,0,10,12.0,9.0,11.0,10.0,67.33333333333333,97.33333333333334,14,13.333333333333329,4.798245614035087,2.4385964912280707,20,10
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,48.21052631578947,12.333333333333334,4.482456140350878,9,15,79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,49.13157894736842,11.991228070175438,4.201754385964913,20,17,-3.0,-1.0,-5.0,-3.0,-9.333333333333336,-15.000000000000002,-7,-0.9210526315789451,0.3421052631578956,0.2807017543859649,-11,-2
84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,66.16666666666667,17.640350877192983,6.5,19,20,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,-6.0,5.0,6.0,3.0,24.33333333333333,41.66666666666667,-1,11.815789473684212,5.1491228070175445,1.8947368421052628,-1,1
78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,55.57017543859649,13.956140350877194,5.719298245614035,20,20,-7.0,-6.0,-8.0,-8.0,-9.666666666666671,-15.333333333333332,-16,1.9824561403508767,-0.219298245614036,-0.4824561403508776,-19,-4
78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,48.08771929824562,12.289473684210526,3.982456140350877,3,14,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,54.31578947368421,13.421052631578947,4.850877192982456,7,20,-4.0,0.0,-1.0,-2.0,-6.333333333333336,-17.0,-2,-6.228070175438596,-1.1315789473684212,-0.8684210526315792,-4,-6
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,48.21052631578947,12.333333333333334,4.482456140350878,9,15,74.0,74.0,74.0,74.0,21.0,-49.0,6,49.3421052631579,10.763157894736842,3.4473684210526314,0,10,2.0,3.0,0.0,2.0,23.666666666666664,32.33333333333333,7,-1.1315789473684248,1.5701754385964914,1.0350877192982462,9,5
78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,-12.0,-3.0,-5.0,-6.0,-5.0,-13.666666666666668,-16,3.201754385964911,1.2456140350877192,0.6315789473684204,-19,-3
