diff_past_results,diff_past_goals,result,home_team_attack,home_team_midfield,home_team_defense,home_team_overall,home_team_past_points,home_team_past_goal_diff,home_team_past_appearances,home_team_past_possession,home_team_past_shots,home_team_past_shots_on_goal,home_team_streak,home_team_best_perf,away_team_attack,away_team_midfield,away_team_defense,away_team_overall,away_team_past_points,away_team_past_goal_diff,away_team_past_appearances,away_team_past_possession,away_team_past_shots,away_team_past_shots_on_goal,away_team_streak,away_team_best_perf,home_goalkeeper,away_goalkeeper,home_manager_overall,away_manager_overall,home_players_overall_mean,away_players_overall_mean,home_players_defense_mean,away_players_defense_mean,home_players_midfield_mean,away_players_midfield_mean,home_players_attack_mean,away_players_attack_mean,diff_team_attack,diff_team_midfield,diff_team_defense,diff_team_overall,diff_manager,diff_players_overall,diff_players_defense,diff_players_midfield,diff_players_attack,diff_goalkeepers,diff_team_past_points,diff_team_past_goal_diff,diff_team_past_appearances,diff_team_past_possession,diff_team_past_shots,diff_team_past_shots_on_goal,diff_team_streak,diff_team_best_perf
0,0,home_win,71.0,71.0,73.0,72.0,41.0,-24.666666666666668,6,49.64035087719298,14.526315789473685,4.447368421052632,6,11,79.0,76.0,75.0,75.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,77,76,1129.0,1600.0,71.1,68.3,65.38571428571429,64.60714285714286,63.17,60.612500000000004,58.263636363636365,53.238636363636374,-8.0,-5.0,-2.0,-3.0,-471.0,2.799999999999997,0.7785714285714249,2.5574999999999974,5.0249999999999915,1,41.0,44.33333333333333,6,49.64035087719298,14.526315789473685,4.447368421052632,6,11
0,-1,away_win,74.0,75.0,73.0,74.0,43.25,-17.5,11,44.79824561403509,12.37719298245614,3.8859649122807016,10,15,69.0,76.0,77.0,76.0,59.333333333333336,11.666666666666666,10,51.28947368421053,14.605263157894736,4.771929824561403,10,17,67,80,3200.0,5300.0,74.3,76.5,67.47142857142858,70.35714285714286,64.64000000000001,69.53999999999999,61.42727272727272,63.527272727272724,5.0,-1.0,-4.0,-2.0,-2100.0,-2.200000000000003,-2.885714285714286,-4.899999999999977,-2.1000000000000014,-13,-16.083333333333336,-29.166666666666664,1,-6.491228070175438,-2.228070175438596,-0.8859649122807016,0,-2
1,4,home_win,84.0,81.0,82.0,82.0,80.0,50.333333333333336,10,59.85964912280702,20.842105263157894,6.842105263157895,10,20,74.0,71.0,69.0,71.0,0.0,-69.0,1,0.0,0.0,0.0,0,2,74,74,10896.0,1600.0,82.7,68.8,72.20000000000002,63.75714285714285,70.86999999999999,58.46999999999999,69.58181818181818,51.9090909090909,10.0,10.0,13.0,11.0,9296.0,13.900000000000006,8.442857142857164,12.399999999999999,17.67272727272728,0,80.0,119.33333333333334,9,59.85964912280702,20.842105263157894,6.842105263157895,10,18
0,0,draw,74.0,73.0,71.0,73.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,78.0,75.0,74.0,75.0,42.333333333333336,-13.0,7,47.1140350877193,12.710526315789474,4.008771929824562,4,11,81,74,1400.0,3800.0,72.1,76.0,62.828571428571436,71.41428571428573,66.28,68.44000000000001,57.31818181818181,63.218181818181826,-4.0,-2.0,-3.0,-2.0,-2400.0,-3.9000000000000057,-8.585714285714289,-2.160000000000011,-5.900000000000013,7,-42.333333333333336,-56.0,-7,-47.1140350877193,-12.710526315789474,-4.008771929824562,-4,-11
9,19,home_win,81.0,79.0,80.0,80.0,69.0,30.333333333333332,10,56.89473684210526,17.19298245614035,5.421052631578948,10,19,72.0,74.0,72.0,74.0,42.0,-13.666666666666666,10,43.18421052631579,14.175438596491228,4.298245614035087,10,15,85,77,6036.0,4100.0,80.1,74.0,71.2,66.92857142857143,71.36,63.65999999999999,65.9909090909091,58.89090909090909,9.0,5.0,8.0,6.0,1936.0,6.099999999999994,4.271428571428572,7.70000000000001,7.1000000000000085,8,27.0,44.0,0,13.710526315789473,3.0175438596491215,1.1228070175438605,0,4
0,1,home_win,81.0,78.0,76.0,77.0,40.0,-10.0,9,49.71052631578947,12.513157894736842,3.8552631578947367,1,18,80.0,76.0,74.0,76.0,49.333333333333336,1.3333333333333333,10,50.37719298245614,13.342105263157896,4.078947368421052,10,14,78,80,5300.0,2737.0,74.4,74.5,65.12857142857143,67.11428571428571,66.78,66.77,62.35454545454545,61.64545454545455,1.0,2.0,2.0,1.0,2563.0,-0.09999999999999432,-1.9857142857142804,0.010000000000005116,0.7090909090909037,-2,-9.333333333333336,-11.333333333333334,-1,-0.6666666666666643,-0.8289473684210531,-0.22368421052631549,-9,4
5,6,away_win,82.0,84.0,79.0,81.0,61.0,11.666666666666666,10,52.921052631578945,16.50877192982456,5.2105263157894735,10,17,83.0,85.0,81.0,83.0,62.666666666666664,21.0,9,52.833333333333336,14.421052631578947,5.026315789473684,9,18,81,83,8592.0,11814.0,80.7,80.9,64.4857142857143,67.24285714285713,70.26,72.28,65.13636363636364,67.27272727272728,-1.0,-1.0,-2.0,-2.0,-3222.0,-0.20000000000000284,-2.7571428571428385,-2.019999999999996,-2.1363636363636402,-2,-1.6666666666666643,-9.333333333333334,1,0.08771929824560942,2.0877192982456148,0.18421052631578938,1,-1
-2,-5,away_win,76.0,73.0,72.0,73.0,39.5,-23.0,5,49.31578947368421,15.210526315789474,4.592105263157895,1,10,76.0,75.0,75.0,76.0,46.0,-11.0,3,38.75438596491228,10.947368421052632,3.1228070175438596,3,10,78,76,4324.0,7271.0,72.9,76.4,67.18571428571428,68.82857142857144,65.17999999999999,64.99000000000001,62.45454545454545,61.290909090909096,0.0,-2.0,-3.0,-3.0,-2947.0,-3.5,-1.642857142857153,0.18999999999998352,1.163636363636357,2,-6.5,-12.0,2,10.561403508771932,4.2631578947368425,1.469298245614035,-2,0
4,7,home_win,84.0,83.0,80.0,82.0,85.0,47.666666666666664,10,57.86842105263158,17.789473684210527,5.815789473684211,10,20,84.0,80.0,81.0,81.0,71.66666666666667,34.0,10,59.62280701754386,17.333333333333332,6.06140350877193,10,20,78,80,14268.0,10195.0,80.0,77.0,66.24285714285713,61.48571428571428,69.63999999999999,69.23,63.236363636363635,62.981818181818184,0.0,3.0,-1.0,1.0,4073.0,3.0,4.757142857142853,0.4099999999999824,0.2545454545454504,-2,13.333333333333329,13.666666666666664,0,-1.7543859649122808,0.4561403508771953,-0.24561403508771917,0,0
0,0,home_win,84.0,80.0,81.0,81.0,71.66666666666667,34.0,10,59.62280701754386,17.333333333333332,6.06140350877193,10,20,74.0,73.0,71.0,73.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,80,81,10195.0,1400.0,80.1,72.1,65.4,65.31428571428572,71.36,66.83,66.54545454545455,56.881818181818176,10.0,7.0,10.0,8.0,8795.0,8.0,0.08571428571428896,4.530000000000001,9.663636363636371,-1,71.66666666666667,103.0,10,59.62280701754386,17.333333333333332,6.06140350877193,10,20
2,5,draw,69.0,76.0,77.0,76.0,59.333333333333336,11.666666666666666,10,51.28947368421053,14.605263157894736,4.771929824561403,10,17,76.0,75.0,75.0,76.0,58.0,2.6666666666666665,10,47.10526315789474,12.93859649122807,4.228070175438597,10,15,80,82,5300.0,4150.0,77.0,74.5,71.92857142857142,66.37142857142857,69.91999999999999,62.89000000000001,63.472727272727276,62.81818181818181,-7.0,1.0,2.0,0.0,1150.0,2.5,5.55714285714285,7.02999999999998,0.6545454545454632,-2,1.3333333333333357,9.0,0,4.184210526315788,1.666666666666666,0.5438596491228065,0,2
1,3,home_win,83.0,85.0,81.0,83.0,62.666666666666664,21.0,9,52.833333333333336,14.421052631578947,5.026315789473684,9,18,71.0,71.0,73.0,72.0,41.0,-24.666666666666668,6,49.64035087719298,14.526315789473685,4.447368421052632,6,11,83,77,11814.0,1129.0,81.0,70.8,68.57142857142857,65.92857142857143,73.83000000000001,63.69,68.95454545454547,57.5090909090909,12.0,14.0,8.0,11.0,10685.0,10.200000000000003,2.642857142857139,10.140000000000015,11.445454545454567,6,21.666666666666664,45.66666666666667,3,3.1929824561403564,-0.10526315789473806,0.5789473684210522,3,7
1,2,home_win,76.0,75.0,75.0,76.0,46.0,-11.0,3,38.75438596491228,10.947368421052632,3.1228070175438596,3,10,81.0,79.0,80.0,80.0,69.0,30.333333333333332,10,56.89473684210526,17.19298245614035,5.421052631578948,10,19,76,85,7271.0,6036.0,75.6,80.4,66.94285714285715,71.65714285714287,64.72999999999999,70.58,59.67272727272727,65.34545454545454,-5.0,-4.0,-5.0,-4.0,1235.0,-4.800000000000011,-4.714285714285722,-5.8500000000000085,-5.672727272727272,-9,-23.0,-41.33333333333333,-7,-18.14035087719298,-6.245614035087717,-2.298245614035088,-7,-9
-6,-8,away_win,78.0,75.0,74.0,75.0,42.333333333333336,-13.0,7,47.1140350877193,12.710526315789474,4.008771929824562,4,11,84.0,81.0,82.0,82.0,80.0,50.333333333333336,10,59.85964912280702,20.842105263157894,6.842105263157895,10,20,74,84,3800.0,10896.0,75.7,82.5,71.9,70.84126984126985,68.84,72.37777777777778,64.98181818181817,69.94949494949496,-6.0,-6.0,-8.0,-7.0,-7096.0,-6.799999999999997,1.0587301587301567,-3.5377777777777766,-4.967676767676792,-10,-37.666666666666664,-63.333333333333336,-3,-12.74561403508772,-8.13157894736842,-2.833333333333333,-6,-9
0,-1,away_win,77.0,73.0,73.0,74.0,39.0,-22.0,3,48.93421052631579,11.68421052631579,3.3552631578947367,2,6,82.0,84.0,79.0,81.0,61.0,11.666666666666666,10,52.921052631578945,16.50877192982456,5.2105263157894735,10,17,77,81,4200.0,8592.0,72.7,81.3,66.62857142857143,68.4142857142857,61.989999999999995,70.84,55.44545454545455,67.82727272727273,-5.0,-11.0,-6.0,-7.0,-4392.0,-8.599999999999994,-1.7857142857142634,-8.850000000000009,-12.381818181818176,-4,-22.0,-33.666666666666664,-7,-3.9868421052631575,-4.824561403508772,-1.8552631578947367,-8,-11
-5,-14,away_win,72.0,74.0,72.0,74.0,42.0,-13.666666666666666,10,43.18421052631579,14.175438596491228,4.298245614035087,10,15,84.0,83.0,80.0,82.0,85.0,47.666666666666664,10,57.86842105263158,17.789473684210527,5.815789473684211,10,20,77,78,4100.0,14268.0,73.7,81.0,64.78571428571428,65.92857142857143,63.36999999999999,70.07999999999998,58.15454545454545,64.67272727272727,-12.0,-9.0,-8.0,-8.0,-10168.0,-7.299999999999997,-1.142857142857153,-6.709999999999994,-6.518181818181823,-1,-43.0,-61.33333333333333,0,-14.684210526315795,-3.6140350877192997,-1.5175438596491233,0,-5
1,1,away_win,74.0,71.0,69.0,71.0,0.0,-69.0,1,0.0,0.0,0.0,0,2,76.0,73.0,72.0,73.0,39.5,-23.0,5,49.31578947368421,15.210526315789474,4.592105263157895,1,10,62,78,1600.0,4324.0,68.4,74.0,62.728571428571435,66.91428571428573,59.529999999999994,65.6,53.95454545454545,63.5,-2.0,-2.0,-3.0,-2.0,-2724.0,-5.599999999999994,-4.18571428571429,-6.07,-9.545454545454547,-16,-39.5,-46.0,-4,-49.31578947368421,-15.210526315789474,-4.592105263157895,-1,-8
0,-1,draw,80.0,76.0,74.0,76.0,49.333333333333336,1.3333333333333333,10,50.37719298245614,13.342105263157896,4.078947368421052,10,14,74.0,75.0,73.0,74.0,43.25,-17.5,11,44.79824561403509,12.37719298245614,3.8859649122807016,10,15,80,67,2737.0,3200.0,77.4,73.4,65.85714285714286,63.08571428571429,67.0,63.33,64.11818181818182,58.82727272727273,6.0,1.0,1.0,2.0,-463.0,4.0,2.7714285714285722,3.6700000000000017,5.290909090909096,13,6.083333333333336,18.833333333333332,-1,5.578947368421048,0.9649122807017552,0.1929824561403506,0,-1
0,0,draw,79.0,76.0,75.0,75.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,81.0,78.0,76.0,77.0,40.0,-10.0,9,49.71052631578947,12.513157894736842,3.8552631578947367,1,18,76,78,1600.0,5300.0,71.2,74.4,63.78571428571428,65.78571428571429,65.07,65.41,59.227272727272734,62.16363636363637,-2.0,-2.0,-1.0,-2.0,-3700.0,-3.200000000000003,-2.000000000000014,-0.3400000000000034,-2.9363636363636374,-2,-40.0,-59.0,-9,-49.71052631578947,-12.513157894736842,-3.8552631578947367,-1,-18
